risk_increase_A,risk_increase_B,prob_increase_A,prob_increase_B,risk_lower_A,risk_lower_B,prob_lower_A,prob_lower_B,assoc_A,assoc_B,explain,comments
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,to find the relationship between two different things,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,My task was to select an option that dealt with the relationship between the two things mentioned in the sentence that was shown.,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,Denoden causes Flembers,,Comprehending correlations ,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,Laurem causes a decrease in Turilin,,,Flembers causes Denoden,Not sure,No
Rebosen causes an increase in Themaglin,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,maybe packaging descriptions ,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,Denoden causes Flembers,,Interpret a few ambiguous statements,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,provide opinions about relationships,
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,,"A third factor is causally related to Denoden and Flembers, they are not directly related",The task was to determine if something was the cause of something else. Idk,n/a
Themaglin causes an increase in Rebosen,,,"A third factor is causally related to Pneuben and Efogen, they are not directly related","A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",To see if we understand the association ,
,Rebosen causes an increase in Themaglin,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,Agoriv causes a decrease in Ceflar,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,,"A third factor is causally related to Denoden and Flembers, they are not directly related",To see people's assumptions about causation depending on terminology ,
