"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","consent_response","consent_timestamp","task","response_text","response_type","condition","version","column_name","statement","choice_order"
"24804","<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confiden-tiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and writ-ten data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","html-button-response","0","24814","0.0-0.0","agree","2026-05-18T20:03:43.537Z","","","","","","","",""
"5903","
                <h2>Welcome!</h2>
                <p>You will be asked a few simple questions about the possible relationship
                between different things. The questions are unrelated to one another.</p>
                <p>For each question, you will read a statement and choose the most likely
                interpretation from the options presented.</p>
                <p>Please respond thoughtfully.</p>
            ","0","html-button-response","1","30726","0.0-1.0","","","","","","","","","",""
"51337","
        <p>Before we begin, here is a practice question to familiarize you with the format.</p>
        <p>Suppose you read the following piece of information:</p>
        <p class=""trial-statement"">&ldquo;While Maria was typing her report, the phone rang.&rdquo;</p>
        <p class=""trial-question"">Which of the following is most likely?</p>
    ","1","html-button-response","2","82068","0.0-2.0","","","practice","Maria began her report first","correct","","","","",""
"21361","
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Rebosen is associated with a higher risk of Themaglin&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ","0","html-button-response","3","103432","0.0-3.0","","","causal_judgment","Rebosen causes an increase in Themaglin","xy","risk_increase","B","risk_increase_B","Rebosen is associated with a higher risk of Themaglin","xy,yx,neither"
"15412","
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Agoriv is associated with a lower risk of Ceflar&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ","2","html-button-response","4","118847","0.0-4.0","","","causal_judgment","Agoriv causes a decrease in Ceflar","xy","risk_lower","A","risk_lower_A","Agoriv is associated with a lower risk of Ceflar","neither,yx,xy"
"13170","
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Denoden is associated with Flembers&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ","1","html-button-response","5","132021","0.0-5.0","","","causal_judgment","A third factor is causally related to Denoden and Flembers, they are not directly related","neither","assoc","A","assoc_A","Denoden is associated with Flembers","xy,neither,yx"
"10796","
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Efogen is associated with higher probability of Pneuben&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ","0","html-button-response","6","142821","0.0-6.0","","","causal_judgment","A third factor is causally related to Efogen and Pneuben, they are not directly related","neither","prob_increase","B","prob_increase_B","Efogen is associated with higher probability of Pneuben","neither,xy,yx"
"16755","
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Turilin is associated with lower probability of Laurem&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ","0","html-button-response","7","159580","0.0-7.0","","","causal_judgment","A third factor is causally related to Turilin and Laurem, they are not directly related","neither","prob_lower","A","prob_lower_A","Turilin is associated with lower probability of Laurem","neither,xy,yx"
"50257","","{""explain"":""To state if there was an implied direct cause and effect relationship between pairs of variables.""}","survey-text","8","209847","0.0-8.0","","","screening","","","","","","",""
"40660","","{""comments"":""It made me think so it was fun.""}","survey-text","9","250520","0.0-9.0","","","comments","","","","","","",""
"20332","","{""age"":""42"",""gender"":""Female"",""native_language"":""English "",""education"":""Vocational collegd""}","survey-text","10","270865","0.0-10.0","","","demographics","","","","","","",""
